file,runs,pigz_level,sample_percent,simulation_engine,original_bytes,compressed_bytes,ratio,preprocess_avg_ms,secondary_compress_avg_ms,total_encode_avg_ms,total_decode_avg_ms,all_verified
"small-char.dds",1,7,20,miniz,131200,72724,1.804081,16.778,200.526,217.304,122.685,true
"spnza_bricks_a_diff.dds",1,7,20,miniz,524416,371725,1.410763,54.603,177.177,231.779,295.933,true
"sponza_arch_diff.dds",1,7,20,miniz,524416,294449,1.781008,23.225,187.999,211.225,229.621,true
"sponza_ceiling_a_diff.dds",1,7,20,miniz,524416,366949,1.429125,78.192,186.655,264.848,300.973,true
"sponza_column_a_diff.dds",1,7,20,miniz,524416,372612,1.407405,43.817,278.234,322.051,288.776,true
"sponza_column_b_diff.dds",1,7,20,miniz,524416,393484,1.332751,146.492,469.759,616.251,162.503,true
"sponza_column_c_diff.dds",1,7,20,miniz,524416,399315,1.313289,49.051,183.460,232.511,195.779,true
"sponza_curtain_diff.dds",1,7,20,miniz,2097280,1510060,1.388872,128.180,377.461,505.641,334.420,true
"sponza_details_diff.dds",1,7,20,miniz,524416,320737,1.635034,67.501,1008.682,1076.183,323.265,true
"sponza_fabric_green_diff.dds",1,7,20,miniz,524416,325823,1.609512,24.091,383.615,407.706,131.544,true
"sponza_flagpole_diff.dds",1,7,20,miniz,524416,290666,1.804188,24.128,176.613,200.741,158.038,true
"sponza_floor_a_diff.dds",1,7,20,miniz,524416,367043,1.428759,74.545,187.796,262.341,131.444,true
"sponza_roof_diff.dds",1,7,20,miniz,524416,442637,1.184754,17.253,181.654,198.907,133.171,true
"un512.dds",1,7,20,miniz,131200,102630,1.278379,68.916,124.756,193.672,171.188,true
"vase_dif.dds",1,7,20,miniz,524416,383352,1.367975,25.765,231.286,257.051,134.808,true
"vase_hanging.dds",1,7,20,miniz,524416,292126,1.795171,66.266,268.737,335.004,244.353,true
"vase_round.dds",1,7,20,miniz,524416,370773,1.414386,18.748,490.113,508.861,229.935,true
"vector-streets.dds",1,7,20,miniz,32896,7632,4.310273,7.298,163.635,170.932,129.956,true
