file,sample_percent,runs,selected_method,original_bytes,compressed_bytes,compressed_percent,preprocess_avg_ms,secondary_avg_ms,total_encode_avg_ms,total_decode_avg_ms,matches_100_percent,all_verified
"vase_dif.dds",100,5,Z-order,524416,383352,73.100744,36.305,72.885,109.190,63.253,true,true
"vase_dif.dds",20,5,Z-order,524416,383352,73.100744,9.241,67.270,76.510,65.399,true,true
"vase_dif.dds",10,5,Scanline,524416,381478,72.743395,5.725,72.597,78.323,63.229,false,true
"vase_hanging.dds",100,5,Scanline,524416,292126,55.705013,42.718,82.776,125.493,76.276,true,true
"vase_hanging.dds",20,5,Scanline,524416,292126,55.705013,13.501,92.625,106.126,62.994,true,true
"vase_hanging.dds",10,5,Scanline,524416,292126,55.705013,6.696,84.674,91.369,67.076,true,true
"vase_round.dds",100,5,Scanline,524416,370773,70.702076,36.968,66.835,103.803,65.451,true,true
"vase_round.dds",20,5,Scanline,524416,370773,70.702076,10.542,86.631,97.173,62.852,true,true
"vase_round.dds",10,5,Scanline,524416,370773,70.702076,6.574,99.902,106.476,59.684,true,true
"vector-streets.dds",100,5,Scanline,32896,7340,22.312743,6.110,103.708,109.818,103.150,true,true
"vector-streets.dds",20,5,Z-order,32896,7632,23.200389,7.618,90.922,98.540,70.584,false,true
"vector-streets.dds",10,5,Z-order,32896,7632,23.200389,0.996,50.866,51.862,62.675,false,true
